trimester,brand,noCards
2013/12/01,Banregio,38469
2014/02/01,Banregio,39116
2014/04/01,Banregio,40387
2014/06/01,Banregio,41590
2014/08/01,Banregio,39856
2014/10/01,Banregio,40518
2014/12/01,Banregio,41020
2015/02/01,Banregio,41967
2015/04/01,Banregio,43249
2015/06/01,Banregio,44853
2015/08/01,Banregio,45854
2015/10/01,Banregio,47739
2015/12/01,Banregio,50147
2016/02/01,Banregio,52603
2016/04/01,Banregio,54864
2016/06/01,Banregio,56968
2016/08/01,Banregio,60068
2016/10/01,Banregio,61947
2016/12/01,Banregio,63994
2017/02/01,Banregio,61121
2017/04/01,Banregio,62443
2017/06/01,Banregio,71241
2017/08/01,Banregio,74456
2017/10/01,Banregio,77797
2017/12/01,Banregio,79888
2018/02/01,Banregio,82403
2018/04/01,Banregio,85505
2018/06/01,Banregio,87932
2018/08/01,Banregio,90932
2018/10/01,Banregio,93900
2018/12/01,Banregio,96945
2019/02/01,Banregio,99874
2019/04/01,Banregio,103921
2019/06/01,Banregio,107935
2019/08/01,Banregio,112027
2019/10/01,Banregio,116389
2019/12/01,Banregio,119609
2020/02/01,Banregio,134422
2020/04/01,Banregio,154429
2020/06/01,Banregio,159830
2020/08/01,Banregio,168463
2020/10/01,Banregio,170794
2011/06/01,BBVABancomer,8094514
2011/08/01,BBVABancomer,8102383
2011/10/01,BBVABancomer,8056472
2011/12/01,BBVABancomer,8055866
2012/02/01,BBVABancomer,8032047
2012/04/01,BBVABancomer,8028357
2012/06/01,BBVABancomer,7869600
2012/08/01,BBVABancomer,7827953
2012/10/01,BBVABancomer,7798072
2012/12/01,BBVABancomer,7782018
2013/02/01,BBVABancomer,7694267
2013/04/01,BBVABancomer,7632049
2013/06/01,BBVABancomer,7433338
2013/08/01,BBVABancomer,7365890
2013/10/01,BBVABancomer,7304835
2013/12/01,BBVABancomer,7323791
2014/02/01,BBVABancomer,7060175
2014/04/01,BBVABancomer,6927731
2014/06/01,BBVABancomer,6784310
2014/08/01,BBVABancomer,6658420
2014/10/01,BBVABancomer,6534923
2014/12/01,BBVABancomer,6476153
2015/02/01,BBVABancomer,6244954
2015/04/01,BBVABancomer,6163457
2015/06/01,BBVABancomer,6058899
2015/08/01,BBVABancomer,6050809
2015/10/01,BBVABancomer,6010335
2015/12/01,BBVABancomer,6052488
2016/02/01,BBVABancomer,5958097
2016/04/01,BBVABancomer,5918048
2016/06/01,BBVABancomer,5890647
2016/08/01,BBVABancomer,5846807
2016/10/01,BBVABancomer,5847439
2016/12/01,BBVABancomer,5741044
2017/02/01,BBVABancomer,5638817
2017/04/01,BBVABancomer,5597072
2017/06/01,BBVABancomer,5506840
2017/08/01,BBVABancomer,5427008
2017/10/01,BBVABancomer,5364690
2017/12/01,BBVABancomer,5299535
2018/02/01,BBVABancomer,5152576
2018/04/01,BBVABancomer,5094372
2018/06/01,BBVABancomer,5090371
2018/08/01,BBVABancomer,5078466
2018/10/01,BBVABancomer,5006470
2018/12/01,BBVABancomer,4997580
2019/02/01,BBVABancomer,5002468
2019/04/01,BBVABancomer,5033111
2019/06/01,BBVABancomer,5101267
2019/08/01,BBVABancomer,5211016
2019/10/01,BBVABancomer,5287948
2019/12/01,BBVABancomer,5405158
2020/02/01,BBVABancomer,5270491
2020/04/01,BBVABancomer,5271621
2020/06/01,BBVABancomer,5256115
2020/08/01,BBVABancomer,5231631
2020/10/01,BBVABancomer,5387316
2011/06/01,HSBC,1068818
2011/08/01,HSBC,1098027
2011/10/01,HSBC,1128896
2011/12/01,HSBC,1147775
2012/02/01,HSBC,1183546
2012/04/01,HSBC,1219038
2012/06/01,HSBC,1268533
2012/08/01,HSBC,1335261
2012/10/01,HSBC,1350992
2012/12/01,HSBC,1454156
2013/02/01,HSBC,1525827
2013/04/01,HSBC,1353434
2013/06/01,HSBC,1347389
2013/08/01,HSBC,1365180
2013/10/01,HSBC,1389396
2013/12/01,HSBC,1330107
2014/02/01,HSBC,1288429
2014/04/01,HSBC,1248242
2014/06/01,HSBC,1235478
2014/08/01,HSBC,1222584
2014/10/01,HSBC,1218381
2014/12/01,HSBC,1218497
2015/02/01,HSBC,1240849
2015/04/01,HSBC,1267176
2015/06/01,HSBC,1267166
2015/08/01,HSBC,1285388
2015/10/01,HSBC,1315174
2015/12/01,HSBC,1346852
2016/02/01,HSBC,1344062
2016/04/01,HSBC,1371996
2016/06/01,HSBC,1408435
2016/08/01,HSBC,1452501
2016/10/01,HSBC,1371547
2016/12/01,HSBC,1349722
2017/02/01,HSBC,1347813
2017/04/01,HSBC,1294393
2017/06/01,HSBC,1252879
2017/08/01,HSBC,1384474
2017/10/01,HSBC,1097065
2017/12/01,HSBC,1322115
2018/02/01,HSBC,1080545
2018/04/01,HSBC,1044737
2018/06/01,HSBC,1316163
2018/08/01,HSBC,1322398
2018/10/01,HSBC,1379213
2018/12/01,HSBC,1414288
2019/02/01,HSBC,1422235
