POSICION,TRIMESTRE,TRIMESTRE_NUM,TRIMESTRE_LEYENDA,ENTIDAD,MTO_SOLS_CPA,NRO_SOLS_CPA,MTO_PROM_X_SOLC,MTO_CPAS_AUT,NRO_CPAS_AUT,PROM_CPAS_AUT,PORC_CPAS_AUT,MTO_CONT_CARG,NRO_CONT_CARG,PORC_CONT_CARG_VS_CPAS_AUT
5,01/06/2020,43983,2Q 2020,Banorte0Ixe,5468751612,4574601,1195,3392420025,2869446,1182,0.6273,7786352,3566,0.0012
6,01/06/2020,43983,2Q 2020,HSBC,3000715614,2842273,1056,2008292536,1880595,1068,0.6617,27672391,10524,0.0056
7,01/06/2020,43983,2Q 2020,Scotiabank,1661700362,1418735,1171,934370376,789600,1183,0.5566,17680418,8846,0.0112
8,01/06/2020,43983,2Q 2020,Invex,7571521,4202,1802,2916318,728,4006,0.1733,433861,156,0.2143
9,01/06/2020,43983,2Q 2020,Banregio,663849851,500905,1325,417739315,306251,1364,0.6114,4340802,1190,0.0039
10,01/06/2020,43983,2Q 2020,Azteca,47165565,49094,961,23659717,26178,904,0.5332,76439,108,0.0041
1,01/09/2020,44075,3Q 2020,BBVA Bancomer,24752236213,23022850,1075,16279375534,17023624,956,0.7394,305184265,261321,0.0154
2,01/09/2020,44075,3Q 2020,Banamex,19306061147,13758173,1403,14587389322,11434817,1276,0.8311,85856621,55888,0.0049
3,01/09/2020,44075,3Q 2020,Bancoppel,1109446305,1751391,633,676128144,1138355,594,0.65,0,0,0
4,01/09/2020,44075,3Q 2020,Santander,6389426911,6147289,1039,4244501943,4014047,1057,0.653,50918998,23708,0.0059
5,01/09/2020,44075,3Q 2020,Banorte0Ixe,5665456832,4485910,1263,3743190385,3057661,1224,0.6816,9790068,3492,0.0011
6,01/09/2020,44075,3Q 2020,HSBC,3025068021,2921426,1035,2145100495,2064853,1039,0.7068,35600542,11049,0.0054
7,01/09/2020,44075,3Q 2020,Scotiabank,1557450290,1343234,1159,947098392,790668,1198,0.5886,17289916,9368,0.0118
8,01/09/2020,44075,3Q 2020,Invex,7322265,5086,1440,3775479,1768,2135,0.3476,344073,126,0.0713
9,01/09/2020,44075,3Q 2020,Banregio,687074592,523829,1312,446388278,339357,1315,0.6478,1599232,651,0.0019
10,01/09/2020,44075,3Q 2020,Azteca,92752462,97838,948,55597797,56032,992,0.5727,169032,153,0.0027
