Trimestre,Banamex,BBVABancomer,HSBC,BancodelBajio,BancaMifel,Scotiabank,Banregio,Invex,Afirme,Banorte-Ixe,AmericanExpress,BancoAzteca,BancoAhorroFamsa,Actinver,BanCoppel,Consubanco,Globalcard,TarjetasBanamex,SantanderConsumo,CFCreditServices,Total
1/2/2014,0,7060175,1288429,28843,2205,435960,39116,87067,26161,21718,453955,0,0,0,2522959,12815,35650,5674771,2599682,0,20289506
1/12/2013,0,7323791,1330107,27530,2231,413477,38469,75572,25214,21633,459828,0,0,0,2456419,12581,35844,5755916,2635047,0,20613659
1/10/2013,0,7304835,1389396,26011,2182,402578,37730,73212,24014,21654,463184,0,0,0,2485289,12762,37147,5806833,2597771,0,20684598
1/8/2013,0,7365890,1365180,24575,2076,397404,36720,68367,23100,27749,466402,0,0,0,2428437,13178,39706,5762087,2766454,0,20787325
1/6/2013,0,7433338,1347389,22313,1989,394238,35308,63427,21621,27335,462684,0,0,0,2383261,13673,41003,5795248,2901980,0,20944807
1/4/2013,0,7632049,1353434,20928,1942,392664,34249,61084,19634,26549,456831,0,0,0,2345945,14252,42585,5681665,3075709,0,21159520
1/2/2013,0,7694267,1525827,18774,1801,392981,33385,59408,16532,25363,452520,0,0,0,2285334,14958,43218,5580999,3269343,0,21414710
1/12/2012,0,7782018,1454156,18080,1623,394253,27804,56501,15790,48848,447762,0,0,0,2235018,15766,44264,5552500,3196599,0,21290982
1/10/2012,0,7798072,1350992,17541,1417,388543,27370,55054,18814,48149,440025,0,0,0,2174798,16545,45217,5523004,3419350,0,21324891
1/8/2012,0,7827953,1335261,16729,1532,374223,27177,57159,19238,47162,430510,0,0,0,2105759,17471,45968,5375131,3434392,0,21115665
1/6/2012,0,7869600,1268533,18187,1421,371126,25859,52913,20265,46249,425229,0,0,0,2020373,18592,46764,5374529,3352382,0,20912022
1/4/2012,0,8028357,1219038,17708,1376,373366,24594,59062,20456,44941,424440,0,0,0,1948485,19707,40379,5350314,4258063,0,21830286
1/2/2012,0,8032047,1183546,27697,1333,374403,23429,59651,21199,1385492,431897,0,0,0,1882805,21104,46819,5286084,4448273,0,23225779
1/12/2011,0,8055866,1147775,26958,1272,371140,22692,59379,22496,1355619,433926,0,0,0,1829729,22724,47839,5160631,4409216,0,22967262
1/10/2011,0,8056472,1128896,26380,1223,365252,21996,59571,25275,1349558,436453,0,0,0,1765512,24803,46386,5061594,4318003,0,22687374
1/8/2011,0,8102383,1098027,25862,1141,339656,21216,62936,24520,1312178,436623,0,0,0,1707000,26998,46617,4851299,2574604,0,20631060
1/6/2011,0,8094514,1068818,25226,1080,338421,20587,67849,24816,1302912,434768,0,0,0,1639857,29784,46482,4692943,2630279,0,20418336
